workout_id,lesson_id,user_id,leaderboard_position,total_points,state,app_type,app_tracker,studio_id,lesson_name,created_at
4745837,1394,477774,1,1910.3999,COMPLETED,ios,TICKR X 6485,CARDIO,Intervals #36,2020-11-07T09:30:01.137Z
4745987,1394,12305,2,1869.0052,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.522Z
4745915,1394,417904,3,1855.4762,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:02.697Z
4745833,1394,259936,4,1810.2573,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.118Z
4745876,1394,429685,5,1800.0208,COMPLETED,ios,TICKR X 49AE,CARDIO,Intervals #36,2020-11-07T09:30:01.588Z
4746006,1394,44676,6,1799.1444,COMPLETED,ios,TICKR X F249,CARDIO,Intervals #36,2020-11-07T09:30:14.039Z
4745746,1394,138509,7,1773.367,COMPLETED,ios,FIIT AF1CD9,CARDIO,Intervals #36,2020-11-07T09:30:00.746Z
4745878,1394,63116,8,1772.4712,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.595Z
4745877,1394,66294,9,1764.3152,COMPLETED,ios,TICKR X 3E76,CARDIO,Intervals #36,2020-11-07T09:30:01.588Z
4745854,1394,27643,10,1763.3688,COMPLETED,ios,TICKR X 3B25,CARDIO,Intervals #36,2020-11-07T09:30:01.27Z
4745934,1394,486243,11,1751.0466,COMPLETED,android,heart rate sensor,CARDIO,Intervals #36,2020-11-07T09:30:03.398Z
4746017,1394,166446,12,1757.615,COMPLETED,ios,FIIT 270DF7,CARDIO,Intervals #36,2020-11-07T09:30:17.169Z
4745871,1394,19839,13,1738.8638,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.516Z
4745803,1394,418512,14,1730.3561,COMPLETED,ios,FIIT 51D3DE,CARDIO,Intervals #36,2020-11-07T09:30:00.969Z
4745748,1394,559924,14,1729.535,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.751Z
4745958,1394,465019,16,1729.3202,COMPLETED,ios,FIIT BCB0E3,CARDIO,Intervals #36,2020-11-07T09:30:10.918Z
4745788,1394,475829,17,1728.1046,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.908Z
4745867,1394,123320,17,1728.1086,COMPLETED,ios,TICKR X 794C,CARDIO,Intervals #36,2020-11-07T09:30:01.42Z
4746014,1394,383927,19,1733.9868,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:16.83Z
4745759,1394,12936,20,1706.8328,COMPLETED,ios,TICKR X 9AF9,CARDIO,Intervals #36,2020-11-07T09:30:00.779Z
4745836,1394,63592,21,1703.0956,COMPLETED,ios,TICKR X 2754,CARDIO,Intervals #36,2020-11-07T09:30:01.137Z
4745812,1394,64330,22,1702.056,COMPLETED,ios,TICKR X 2493,CARDIO,Intervals #36,2020-11-07T09:30:01.007Z
4746015,1394,24467,23,1707.7819,COMPLETED,ios,TICKR X 87EB,CARDIO,Intervals #36,2020-11-07T09:30:16.874Z
4745824,1394,449882,24,1695.2689,COMPLETED,ios,FIIT 710F0C,CARDIO,Intervals #36,2020-11-07T09:30:01.056Z
4745726,1394,494357,24,1694.7935,COMPLETED,ios,TICKR X 2CD0,CARDIO,Intervals #36,2020-11-07T09:30:00.63Z
4745900,1394,525099,26,1692.6804,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.894Z
